"age","workclass","education","maritial.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
56,"State-gov","HS-grad","Widowed","Adm-clerical","Unmarried","Asian-Pac-Islander","Female",0,0,40,"United-States","small"
29,"Federal-gov","Some-college","Never-married","Adm-clerical","Other-relative","White","Male",0,0,40,"United-States","small"
34,"Private","Some-college","Divorced","Sales","Not-in-family","White","Female",0,0,40,"United-States","small"
33,"Private","7th-8th","Never-married","Other-service","Unmarried","Black","Female",0,0,14,"Trinadad&Tobago","small"
28,"Private","Some-college","Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","small"
54,"Local-gov","HS-grad","Married-civ-spouse","Other-service","Wife","White","Female",0,0,35,"United-States","small"
20,"Private","11th","Never-married","Craft-repair","Not-in-family","Black","Male",0,0,25,"United-States","small"
27,"Private","HS-grad","Never-married","Exec-managerial","Own-child","White","Male",0,0,40,"United-States","small"
69,"Self-emp-not-inc","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,40,"United-States","large"
45,"Private","HS-grad","Married-civ-spouse","Other-service","Husband","White","Male",0,1902,40,"United-States","large"
28,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States","small"
56,"Private","Some-college","Divorced","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","large"
44,"Private","HS-grad","Married-spouse-absent","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","small"
21,"Private","Some-college","Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","small"
64,"Local-gov","HS-grad","Divorced","Transport-moving","Unmarried","White","Male",0,0,20,"United-States","small"
32,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","small"
33,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","small"
44,"Private","Bachelors","Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,40,"United-States","large"
19,"Private","HS-grad","Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","small"
44,"Private","HS-grad","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,43,"United-States","small"
25,"Private","HS-grad","Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","small"
30,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States","small"
44,"Federal-gov","Assoc-acdm","Divorced","Adm-clerical","Not-in-family","Black","Female",0,1741,40,"United-States","small"
34,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,50,"United-States","large"
19,"Private","HS-grad","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","small"
23,"Private","HS-grad","Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,30,"United-States","small"
61,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","large"
48,"Self-emp-inc","Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,70,"United-States","large"
35,"Self-emp-inc","Some-college","Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States","small"
33,"Private","9th","Separated","Adm-clerical","Not-in-family","White","Male",0,0,48,"United-States","small"
36,"Private","12th","Separated","Other-service","Unmarried","White","Female",0,0,40,"Mexico","small"
41,"Federal-gov","Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,24,"United-States","small"
37,"Self-emp-not-inc","Masters","Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","small"
23,"Private","Assoc-voc","Never-married","Other-service","Own-child","White","Female",0,0,15,"United-States","small"
36,"Self-emp-not-inc","Prof-school","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,55,"United-States","large"
23,"Private","HS-grad","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,30,"United-States","small"
48,"Private","HS-grad","Married-civ-spouse","Handlers-cleaners","Wife","Black","Female",0,0,40,"United-States","small"
56,"Private","9th","Divorced","Craft-repair","Not-in-family","White","Female",0,0,40,"United-States","large"
33,"Private","Bachelors","Separated","Sales","Not-in-family","White","Female",0,0,50,"United-States","large"
31,"Private","Some-college","Married-civ-spouse","Sales","Husband","Asian-Pac-Islander","Male",0,0,50,"Taiwan","small"
41,"Self-emp-not-inc","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","large"
20,"Private","Some-college","Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","small"
38,"Private","HS-grad","Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","small"
49,"Self-emp-not-inc","9th","Divorced","Other-service","Not-in-family","White","Female",0,0,20,"United-States","small"
28,"Private","Assoc-voc","Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,50,"United-States","large"
50,"State-gov","Bachelors","Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","small"
28,"Private","HS-grad","Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","small"
46,"Private","11th","Divorced","Machine-op-inspct","Unmarried","Amer-Indian-Eskimo","Male",0,0,43,"Germany","small"
38,"Self-emp-inc","Prof-school","Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States","large"
55,"Private","HS-grad","Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","small"
29,"Private","HS-grad","Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","small"
32,"State-gov","Bachelors","Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","large"
52,"Private","1st-4th","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,56,"Mexico","large"
47,"Private","HS-grad","Divorced","Adm-clerical","Unmarried","White","Male",0,0,40,"Honduras","small"
51,"Private","HS-grad","Never-married","Handlers-cleaners","Own-child","White","Female",0,0,40,"United-States","small"
37,"Self-emp-not-inc","HS-grad","Never-married","Craft-repair","Not-in-family","White","Male",0,0,35,"United-States","small"
32,"Private","Some-college","Never-married","Adm-clerical","Not-in-family","White","Male",0,0,30,"United-States","small"
27,"Self-emp-not-inc","11th","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","small"
17,"Private","HS-grad","Never-married","Other-service","Other-relative","White","Male",0,0,35,"Mexico","small"
58,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Other-service","Husband","White","Male",7688,0,55,"United-States","large"
32,"Private","Assoc-voc","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,99,"United-States","large"
41,"Private","Assoc-acdm","Never-married","Adm-clerical","Not-in-family","Other","Female",0,0,50,"United-States","small"
40,"Private","Preschool","Married-civ-spouse","Other-service","Husband","White","Male",0,1672,40,"Mexico","small"
29,"Local-gov","Masters","Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States","large"
44,"Private","Some-college","Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","small"
45,"Private","Some-college","Divorced","Exec-managerial","Not-in-family","White","Male",0,1876,50,"United-States","small"
24,"Private","Bachelors","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,45,"United-States","small"
23,"Private","Bachelors","Never-married","Adm-clerical","Own-child","White","Female",2174,0,40,"United-States","small"
81,"Self-emp-inc","10th","Married-civ-spouse","Exec-managerial","Wife","White","Female",2936,0,28,"United-States","small"
39,"Private","Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,65,"United-States","large"
31,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,55,"United-States","small"
35,"Private","Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","large"
40,"Private","Some-college","Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States","small"
59,"Private","10th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","small"
29,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","small"
28,"Private","Assoc-acdm","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","large"
49,"Private","Some-college","Separated","Exec-managerial","Unmarried","Black","Female",0,0,60,"United-States","small"
18,"Private","11th","Never-married","Craft-repair","Own-child","White","Male",0,0,25,"United-States","small"
35,"Private","12th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","small"
34,"Local-gov","9th","Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States","small"
37,"Private","11th","Separated","Other-service","Unmarried","Black","Female",0,0,40,"United-States","small"
49,"Private","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States","small"
42,"Local-gov","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",5178,0,40,"United-States","large"
38,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Sales","Husband","White","Male",0,0,64,"United-States","small"
28,"Private","Bachelors","Never-married","Sales","Not-in-family","White","Male",8614,0,40,"United-States","large"
69,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,16,"United-States","small"
69,"Self-emp-inc","Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male",6514,0,40,"United-States","large"
34,"Private","HS-grad","Separated","Handlers-cleaners","Not-in-family","White","Male",2463,0,40,"United-States","small"
18,"Private","11th","Never-married","Sales","Own-child","Black","Female",0,1602,20,"United-States","small"
39,"Local-gov","10th","Divorced","Handlers-cleaners","Own-child","Black","Male",0,0,40,"United-States","small"
18,"Private","Some-college","Never-married","Sales","Own-child","White","Male",0,0,15,"United-States","small"
46,"Private","HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",3411,0,35,"Guatemala","small"
28,"Private","10th","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","small"
56,"Private","Assoc-voc","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","large"
51,"Federal-gov","Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","large"
46,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","large"
